EDGE_ID,FROM_ID,TO_ID,NAME,PRIORITY,TYPE
-146294732#0,1595619305,1595619183,,2,highway.service
-146294732#1,1595619272,1595619305,,2,highway.service
-146294733#0,1595619180,1595619229,,2,highway.service
-146294733#1,1595619217,1595619180,,2,highway.service
-146294734,1595619303,1595619250,,2,highway.service
-146294736,1595619344,1595619148,,2,highway.service
-146294737,1595619246,1595619155,,2,highway.service
-146294738,1595619289,1595619155,,2,highway.service
-146294739#0,1595619211,1595619290,,2,highway.service
-146294739#1,1595619150,1595619211,,2,highway.service
-146294739#2,1595619275,1595619150,,2,highway.service
-146294740#2,1595619299,cluster_1595619147_1595619302_1595619373,,2,highway.service
-146294740#3,1595619149,1595619299,,2,highway.service
-146294741#0,1595619301,1595619320,,2,highway.service
-146294741#1,1595619148,1595619301,,2,highway.service
-146294741#2,1595619159,1595619148,,2,highway.service
-146294741#3,1595619242,1595619159,,2,highway.service
-146294741#4,1595619172,1595619242,,2,highway.service
-146294742,cluster_1595619171_1595619261_3271383643,cluster_1595619147_1595619302_1595619373,,2,highway.service
-146294743,1595619219,1595619234,,2,highway.service
-146294744,1595619235,1595619159,,2,highway.service
-146294746,5041447122,1595619157,,2,highway.service
-146294748,cluster_1595619306_1595619341,1595619301,,2,highway.service
-146294749#0,1595619343,1595619287,,2,highway.service
-146294749#1,1595619273,1595619343,,2,highway.service
-146294749#2,cluster_1595619240_1595619264,1595619273,,2,highway.service
-146294750,cluster_1595619147_1595619302_1595619373,1595619303,,2,highway.service
-146294752,1595619359,cluster_1595619306_1595619341,,2,highway.service
-146294758,1595619244,1595619299,,2,highway.service
-146294759,1595619157,1595619213,,2,highway.service
-146294760,1595619352,1595619289,,2,highway.service
-146294761,1595619372,1595619289,,2,highway.service
-146294762#0,1595619183,1595619246,,2,highway.service
-146294762#1,1595619234,1595619183,,2,highway.service
-146294763#0,1595619305,1595619234,,2,highway.service
-146294763#1,1595619246,1595619305,,2,highway.service
-146294764,1595619213,cluster_1595619240_1595619264,,2,highway.service
-146297660,1595639430,1595639407,,2,highway.service
-146297661,1595639397,62602893,,2,highway.service
-146297662#0,1595639474,1595639441,,2,highway.service
-146297662#1,cluster_1595639439_1595639452,1595639474,,2,highway.service
-146297663,1595639425,1315585735,,2,highway.service
-146297665#0,1595639397,1595639423,,2,highway.service
-146297665#1,1595639445,1595639397,,2,highway.service
-146297666#0,1595639471,1595639462,,2,highway.service
-146297666#1,1595639454,1595639471,,2,highway.service
-146297666#10,3270523899,3270497868,,2,highway.service
-146297666#11,1595639447,3270523899,,2,highway.service
-146297666#12,1611146964,1595639447,,2,highway.service
-146297666#13,1611146954,1611146964,,2,highway.service
-146297666#14,1611146863,1611146954,,2,highway.service
-146297666#15,62868453,1611146863,,2,highway.service
-146297666#2,1595639398,1595639454,,2,highway.service
-146297666#3,1595639409,1595639398,,2,highway.service
-146297666#4,1595639418,1595639409,,2,highway.service
-146297666#5,1595639472,1595639418,,2,highway.service
-146297666#6,1595639466,1595639472,,2,highway.service
-146297666#7,1595639417,1595639466,,2,highway.service
-146297666#8,1595639399,1595639417,,2,highway.service
-146297666#9,3270497868,1595639399,,2,highway.service
-146297667,1595639460,62602881,,2,highway.service
-146297670#0,1595639480,cluster_1595639439_1595639452,,2,highway.service
