JUNCT_ID,X,Y,TYPE
1653894161,3678.81,10483.68,right_before_left
1653894165,3659.93,10483.55,right_before_left
1653894167,3758.83,10484.22,right_before_left
1653894170,4002.69,10400.59,priority
1653894178,3599.33,10372.26,right_before_left
1653894180,4057.92,10396.36,right_before_left
1653894182,3943.35,10446.25,priority
1653894184,3984.45,10401.11,right_before_left
1653894185,3817.34,10484.61,right_before_left
1653894189,3981.32,10382.42,priority
1653894191,3618.77,10372.33,right_before_left
1653894199,3903.91,10472.37,right_before_left
1653894200,3815.82,10614.88,right_before_left
1653894201,4000.56,10408.04,priority
1653894205,3927.10,10431.50,priority
1653894208,3560.35,10350.27,right_before_left
1653894213,3739.10,10484.09,right_before_left
1653894214,3739.63,10399.86,right_before_left
1653894218,3920.53,10438.42,priority
1653894219,3557.75,10482.87,right_before_left
1653894220,3719.97,10394.53,right_before_left
1653907067,3667.77,9881.16,priority
1653907097,3629.03,10107.22,right_before_left
1653907098,3589.16,10350.11,right_before_left
1653907101,3555.71,10243.61,right_before_left
1653907114,3618.92,10116.05,right_before_left
1653907128,3597.11,10320.37,right_before_left
1653907129,3639.48,10146.22,priority
1653907131,3445.07,9902.09,priority
1653907137,3667.70,9877.18,right_before_left
1653907144,3588.76,9879.27,priority
1653907149,3587.34,10012.05,right_before_left
1653907159,3579.28,10259.90,right_before_left
1653907176,3562.16,10121.10,priority
1653907192,3538.15,10289.90,right_before_left
1653907195,3647.39,10001.82,right_before_left
1653907204,3605.85,10005.40,right_before_left
1653907212,3553.44,9899.16,priority
1653907223,3557.10,10292.52,right_before_left
1653907227,3616.16,10286.48,right_before_left
1653907234,3564.98,10011.76,right_before_left
1653907236,3627.68,10002.31,right_before_left
1653907239,3545.90,10011.53,right_before_left
1653907244,3672.95,10172.72,right_before_left
1653907245,3567.87,10107.97,right_before_left
1653907247,3548.36,10107.84,right_before_left
1653907252,3565.62,9898.83,right_before_left
1653907260,3642.22,10304.78,right_before_left
1653907263,3597.81,10151.47,priority
1653907269,3649.19,10106.82,right_before_left
1655330365,3585.12,11307.94,right_before_left
1655381162,3565.82,11119.95,right_before_left
1655381225,3565.90,11068.12,right_before_left
1655381248,3580.95,11068.01,right_before_left
1655381336,3599.12,11119.46,priority
1655381382,3581.39,11119.72,right_before_left
1655381444,3566.50,11180.66,priority
1677630524,5713.92,12917.81,right_before_left
1677630529,5607.97,12838.62,right_before_left
1677630560,5520.46,13003.89,priority
1677630562,5608.06,12918.94,right_before_left
1677630572,5702.78,12918.01,right_before_left
1677630583,5609.66,13004.12,right_before_left
1677630597,5521.82,12839.17,priority
1677630600,5698.79,13001.89,right_before_left
1677630617,5713.74,13002.77,priority
1677630620,5519.00,12918.65,right_before_left
1677630621,5699.22,12837.24,priority
1677660668,5078.84,12605.61,dead_end
1677660693,5108.08,12552.76,dead_end
1677660703,5019.87,12669.02,dead_end
1677660704,5030.58,12606.95,dead_end
1677660708,5078.47,12569.20,dead_end
1677660744,4997.09,12723.02,dead_end
1677660859,5102.26,12554.79,dead_end
1677661054,5105.97,12605.03,dead_end
1677661108,5057.92,12605.62,dead_end
1677661131,5087.15,12605.40,dead_end
1677661132,4880.72,12721.42,dead_end
1677661181,5106.84,12648.05,dead_end
1771978085,6505.19,15327.67,priority
1771978180,6724.54,16153.72,dead_end
1793456320,4076.56,11803.97,priority
1793456323,4099.90,11861.55,right_before_left
1793456325,4158.42,11845.59,priority
1793456327,4158.70,11879.58,right_before_left
1793456328,4076.20,11861.59,priority
1793456330,4158.55,11861.49,right_before_left
1793456331,4159.06,11923.55,priority
1793512569,4037.95,11406.38,priority
1793512571,3870.48,11496.34,priority
1793512572,4038.32,11494.47,priority
